round 326, 0, 1.39197s
round 215, eta = 9626,mem = 7631 # RR sets: 83805.3
round 217, eta = 9593,mem = 7638 # RR sets: 83799.7
round 219, eta = 9569,mem = 7648 # RR sets: 83795.5
round 221, eta = 9558,mem = 7648 # RR sets: 83793.6
round 223, eta = 9523,mem = 7659 # RR sets: 83787.6
round 225, eta = 7303,mem = 7659 # RR sets: 41674.7
round 227, eta = 7253,mem = 7659 # RR sets: 41669
round 229, eta = 7223,mem = 8223 # RR sets: 83331.1
round 231, eta = 6979,mem = 8223 # RR sets: 41637.2
round 233, eta = 6965,mem = 8314 # RR sets: 83271
round 235, eta = 6589,mem = 8314 # RR sets: 41589.6
round 237, eta = 6406,mem = 8314 # RR sets: 41566.3
round 239, eta = 6383,mem = 8314 # RR sets: 41563.3
round 241, eta = 6353,mem = 8314 # RR sets: 41559.4
round 243, eta = 6150,mem = 8314 # RR sets: 41532.5
round 245, eta = 6106,mem = 8314 # RR sets: 41526.6
round 247, eta = 6090,mem = 8314 # RR sets: 41524.4
round 249, eta = 6062,mem = 8314 # RR sets: 41520.6
round 251, eta = 6043,mem = 8314 # RR sets: 41518
round 253, eta = 5969,mem = 8314 # RR sets: 41507.8
round 255, eta = 5939,mem = 8314 # RR sets: 41503.6
round 257, eta = 5903,mem = 8314 # RR sets: 41498.6
round 259, eta = 5874,mem = 8314 # RR sets: 41494.5
round 261, eta = 5827,mem = 8314 # RR sets: 41487.9
round 263, eta = 5812,mem = 8314 # RR sets: 41485.7
round 265, eta = 5782,mem = 8314 # RR sets: 41481.4
round 267, eta = 5769,mem = 8314 # RR sets: 41479.6
round 269, eta = 5738,mem = 8314 # RR sets: 41475.1
round 271, eta = 5703,mem = 8314 # RR sets: 41470
round 273, eta = 5676,mem = 8314 # RR sets: 41466.1
round 275, eta = 5636,mem = 8314 # RR sets: 41460.3
round 277, eta = 5615,mem = 8314 # RR sets: 41457.2
round 279, eta = 5585,mem = 8314 # RR sets: 41452.7
round 281, eta = 5561,mem = 8314 # RR sets: 41449.2
round 283, eta = 5354,mem = 8314 # RR sets: 41417.7
round 285, eta = 5326,mem = 8314 # RR sets: 41413.4
round 287, eta = 5307,mem = 8314 # RR sets: 41410.4
round 289, eta = 5276,mem = 8314 # RR sets: 41405.6
round 291, eta = 5244,mem = 8314 # RR sets: 41400.5
round 293, eta = 5135,mem = 8314 # RR sets: 41383.1
round 295, eta = 5116,mem = 8314 # RR sets: 41380
round 297, eta = 5092,mem = 8314 # RR sets: 41376.1
round 299, eta = 5058,mem = 8314 # RR sets: 41370.6
round 301, eta = 4884,mem = 8314 # RR sets: 41341.5
round 303, eta = 4859,mem = 8314 # RR sets: 41337.3
round 305, eta = 4822,mem = 8314 # RR sets: 41330.9
round 307, eta = 4783,mem = 8314 # RR sets: 41324.2
round 309, eta = 4761,mem = 8314 # RR sets: 41320.4
round 311, eta = 4741,mem = 8314 # RR sets: 41316.9
round 313, eta = 4644,mem = 8314 # RR sets: 41299.7
round 315, eta = 4615,mem = 8314 # RR sets: 41294.5
round 317, eta = 4605,mem = 8314 # RR sets: 41292.7
round 319, eta = 4489,mem = 8314 # RR sets: 41271.5
round 321, eta = 4449,mem = 8314 # RR sets: 41264.1
round 323, eta = 4399,mem = 8314 # RR sets: 41254.7
round 325, eta = 3993,mem = 8314 # RR sets: 41174.2
round 327, eta = 3782,mem = 8314 # RR sets: 20564.5
round 329, eta = 3771,mem = 8314 # RR sets: 20563.3
round 331, eta = 3733,mem = 8314 # RR sets: 41118.2
round 333, eta = 3640,mem = 8314 # RR sets: 20548.6
round 335, eta = 3569,mem = 8314 # RR sets: 41080.8
round 337, eta = 3453,mem = 8376 # RR sets: 41053.3
round 339, eta = 3418,mem = 8376 # RR sets: 20522.4
round 341, eta = 3395,mem = 8376 # RR sets: 20519.6
round 343, eta = 3378,mem = 8376 # RR sets: 20517.5
round 345, eta = 3331,mem = 8376 # RR sets: 20511.7
round 347, eta = 3313,mem = 8460 # RR sets: 41018.8
round 349, eta = 2921,mem = 8460 # RR sets: 20456.9
round 351, eta = 2794,mem = 8460 # RR sets: 20438.3
round 353, eta = 2775,mem = 8460 # RR sets: 20435.5
round 355, eta = 2752,mem = 8460 # RR sets: 20432
round 357, eta = 2724,mem = 8460 # RR sets: 20427.7
round 359, eta = 2705,mem = 8460 # RR sets: 20424.8
round 361, eta = 2681,mem = 8460 # RR sets: 20421.1
round 363, eta = 2660,mem = 8460 # RR sets: 20417.8
round 365, eta = 2577,mem = 8460 # RR sets: 20404.6
round 367, eta = 2529,mem = 8460 # RR sets: 20396.7
round 369, eta = 2483,mem = 8460 # RR sets: 20389
round 424, 0, 1.48908s
round 371, eta = 2445,mem = 8460 # RR sets: 20382.6
round 373, eta = 2424,mem = 8460 # RR sets: 20379
round 375, eta = 2403,mem = 8460 # RR sets: 20375.3
round 377, eta = 2376,mem = 8460 # RR sets: 20370.6
round 379, eta = 2359,mem = 8460 # RR sets: 20367.6
round 381, eta = 2300,mem = 8460 # RR sets: 20357
round 383, eta = 2282,mem = 8460 # RR sets: 20353.7
round 385, eta = 2216,mem = 8460 # RR sets: 20341.4
round 387, eta = 2183,mem = 8460 # RR sets: 20335.1
round 389, eta = 2155,mem = 8460 # RR sets: 20329.7
round 391, eta = 2111,mem = 8460 # RR sets: 20321.1
round 393, eta = 2041,mem = 8460 # RR sets: 20306.9
round 395, eta = 2007,mem = 8460 # RR sets: 20299.9
round 397, eta = 1992,mem = 8460 # RR sets: 20296.8
round 399, eta = 1945,mem = 8460 # RR sets: 20286.7
round 401, eta = 1919,mem = 8460 # RR sets: 20281.1
round 403, eta = 1838,mem = 8460 # RR sets: 20263
round 405, eta = 1811,mem = 8460 # RR sets: 20256.8
round 407, eta = 1796,mem = 8460 # RR sets: 20253.3
round 409, eta = 1632,mem = 8460 # RR sets: 20213
round 411, eta = 1609,mem = 8460 # RR sets: 20207.1
round 413, eta = 1570,mem = 8493 # RR sets: 20196.8
round 415, eta = 1538,mem = 8535 # RR sets: 20188.1
round 417, eta = 1513,mem = 8572 # RR sets: 20181.2
round 419, eta = 1490,mem = 8572 # RR sets: 10087.4
round 421, eta = 1474,mem = 8572 # RR sets: 10085.1
round 423, eta = 1423,mem = 8572 # RR sets: 10077.7
round 425, eta = 1377,mem = 8572 # RR sets: 10070.8
round 427, eta = 1360,mem = 8792 # RR sets: 20136.3
round 429, eta = 1334,mem = 8792 # RR sets: 10064.1
round 431, eta = 1272,mem = 8792 # RR sets: 10054
round 433, eta = 1253,mem = 8792 # RR sets: 10050.9
round 435, eta = 975,mem = 8792 # RR sets: 9997.82
round 437, eta = 938,mem = 8792 # RR sets: 9989.62
round 439, eta = 900,mem = 8792 # RR sets: 9980.86
round 441, eta = 857,mem = 8792 # RR sets: 9970.47
round 443, eta = 825,mem = 8792 # RR sets: 9962.39
round 445, eta = 797,mem = 8792 # RR sets: 9955.06
round 447, eta = 756,mem = 8792 # RR sets: 4971.92
round 449, eta = 731,mem = 8792 # RR sets: 9936.68
round 451, eta = 674,mem = 8792 # RR sets: 4959.7
round 453, eta = 652,mem = 8792 # RR sets: 9912.33
round 455, eta = 629,mem = 8792 # RR sets: 9904.68
round 457, eta = 567,mem = 8792 # RR sets: 4941.26
round 459, eta = 536,mem = 8792 # RR sets: 4935.26
round 461, eta = 384,mem = 8792 # RR sets: 4899.52
round 463, eta = 347,mem = 8792 # RR sets: 4888.62
round 465, eta = 316,mem = 8792 # RR sets: 4878.53
round 467, eta = 294,mem = 8792 # RR sets: 2435.37
round 469, eta = 261,mem = 8914 # RR sets: 4857.88
round 471, eta = 230,mem = 8914 # RR sets: 2422.09
round 473, eta = 185,mem = 8914 # RR sets: 2410.27
round 475, eta = 157,mem = 8914 # RR sets: 2401.32
round 477, eta = 125,mem = 8914 # RR sets: 2388.85
round 479, eta = 73,mem = 8914 # RR sets: 1179.6
round 481, eta = 31,mem = 9662 # RR sets: 1155.66
